BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
6,"978-0-7695-5114-2","Garcia:2013:REC:2569433.2569884","Garcia, David; Zanetti, Marcelo Serrano & Schweitzer, Frank","The Role of Emotions in Contributors Activity: A Case Study on the GENTOO Community","",,,"","410--417",2013,"Washington, DC, USA","","http://dx.doi.org/10.1109/CGC.2013.71","Proceedings of the 2013 International Conference on Cloud and Green Computing","","","CGC '13","","IEEE Computer Society","","","","","","","","","sentiment analysis, open source, motivation, activity, turnover, machine learning","",""
6,"978-0-7695-4351-2","Ghezzi:2011:SLA:2015550.2015574","Ghezzi, Giacomo & Gall, Harald C.","SOFAS: A Lightweight Architecture for Software Analysis As a Service","",,,"","93--102",2011,"Washington, DC, USA","","http://dx.doi.org/10.1109/WICSA.2011.21","Proceedings of the 2011 Ninth Working IEEE/IFIP Conference on Software Architecture","","","WICSA '11","","IEEE Computer Society","","","","","","","","","","",""
7,"","Gonzalez-Barahona:2013:UCI:2553372.2553381","Gonzalez-Barahona, Jesus; Izquierdo, Daniel; Maffulli, Stefano & Robles, Gregorio","Understanding How Companies Interact with Free Software Communities","IEEE Softw.",30,5,"September","38--45",2013,"Los Alamitos, CA, USA","","http://dx.doi.org/10.1109/MS.2013.95","","","","","","IEEE Computer Society Press","","","","","","","","","Software analytics,Software measurement,Electronic mail,Open source software,Statistics,computing milieu,software analytics,process metrics,measurement,software engineering,statistics","",""
1,"159059486X","Gunderloy:2005:PPM:1050963","Gunderloy, Mike","Painless Project Management With Fogbugz","",,,"","",2005,"Berkely, CA, USA","","","","","","","","Apress","","","","","","","","","","",""
6,"978-1-4503-0556-3","Guo:2011:MBO:1958824.1958887","Guo, Philip J.; Zimmermann, Thomas; Nagappan, Nachiappan & Murphy, Brendan",""Not My Bug!" and Other Reasons for Software Bug Report Reassignments","",,,"","395--404",2011,"New York, NY, USA","","http://doi.acm.org/10.1145/1958824.1958887","Proceedings of the ACM 2011 Conference on Computer Supported Cooperative Work","","","CSCW '11","","ACM","","","","","","","","","bug reassignment, bug tracking, bug triaging","",""
6,"978-1-4503-2776-3","Gupta:2014:NMB:2590748.2590749","Gupta, Monika & Sureka, Ashish","Nirikshan: Mining Bug Report History for Discovering Process Maps, Inefficiencies and Inconsistencies","",,,"","1:1--1:10",2014,"New York, NY, USA","","http://doi.acm.org/10.1145/2590748.2590749","Proceedings of the 7th India Software Engineering Conference","","","ISEC '14","","ACM","","","","","","","","","empirical software engineering and measurements, issue tracking system, mining software repositories, open-source software, process mining, software maintenance","",""
6,"978-1-4799-7426-9","Gupta:2014:PCS:2757815.2758026","Gupta, Monika & Sureka, Ashish","Process Cube for Software Defect Resolution","",,,"","239--246",2014,"Washington, DC, USA","","http://dx.doi.org/10.1109/APSEC.2014.45","Proceedings of the 2014 21st Asia-Pacific Software Engineering Conference - Volume 01","","","APSEC '14","","IEEE Computer Society","","","","","","","","","Empirical Software Engineering, Issue Tracking System, Mining Software Repositories, OLAP, Peer Code Review System, Process Cube, Process Mining, Version Control System","",""
6,"978-1-4503-2863-0","Gupta:2014:PMM:2597073.2597081","Gupta, Monika; Sureka, Ashish & Padmanabhuni, Srinivas","Process Mining Multiple Repositories for Software Defect Resolution from Control and Organizational Perspective","",,,"","122--131",2014,"New York, NY, USA","","http://doi.acm.org/10.1145/2597073.2597081","Proceedings of the 11th Working Conference on Mining Software Repositories","","","MSR 2014","","ACM","","","","","","","","","Empirical Software Engineering and Measurements, Issue Tracking System, Peer Code Review System, Process Mining, Social Network Analysis, Software Maintenance","",""
6,"","Habayeb:2015:FTD:2820518.2820597","Habayeb, Mayy; Miranskyy, Andriy; Murtaza, Syed Shariyar; Buchanan, Leotis & Bener, Ayse","The Firefox Temporal Defect Dataset","",,,"","498--501",2015,"Piscataway, NJ, USA","","http://dl.acm.org/citation.cfm?id=2820518.2820597","Proceedings of the 12th Working Conference on Mining Software Repositories","","","MSR '15","","IEEE Press","","","","","","","","","","",""
6,"978-0-7695-5594-2","Habayeb:2015:FTD:2865656.2866110","Habayeb, Mayy; Miranskyy, Andriy; Murtaza, Syed Shariyar; Buchanan, Leotis & Bener, Ayse","The Firefox Temporal Defect Dataset","",,,"","498--501",2015,"Washington, DC, USA","","http://dx.doi.org/10.1109/MSR.2015.73","Proceedings of the 2015 IEEE/ACM 12th Working Conference on Mining Software Repositories","","","MSR '15","","IEEE Computer Society","","","","","","","","","Bug repositories, Dataset, Temporal activities, Bug reports, Defect tracking","",""
6,"78-1-941652-01-5","Hanmer:2014:MNP:2893559.2893568","Hanmer, Robert S. & Mirakhorli, Mehdi","Mining New Patterns by Learning from the Trenches","",,,"","9:1--9:6",2014,"USA","","http://dl.acm.org/citation.cfm?id=2893559.2893568","Proceedings of the 21st Conference on Pattern Languages of Programs","","","PLoP '14","","The Hillside Group","","","","","","","","","design patterns, knowledge discovery, pattern mining","",""
7,"","Hindle:2016:CAT:2911378.2911428","Hindle, Abram; Alipour, Anahita & Stroulia, Eleni","A Contextual Approach Towards More Accurate Duplicate Bug Report Detection and Ranking","Empirical Softw. Engg.",21,2,"April","368--410",2016,"Hingham, MA, USA","","http://dx.doi.org/10.1007/s10664-015-9387-3","","","","","","Kluwer Academic Publishers","","","","","","","","","Bug deduplication, Bug-tracing systems, Duplicate bug reports, Information retrieval, Issue-tracking systems, Software context, Triaging","",""
6,"978-0-7695-4666-7","Hosseini:2012:MBA:2191744.2192559","Hosseini, Hadi; Nguyen, Raymond & Godfrey, Michael W.","A Market-Based Bug Allocation Mechanism Using Predictive Bug Lifetimes","",,,"","149--158",2012,"Washington, DC, USA","","http://dx.doi.org/10.1109/CSMR.2012.25","Proceedings of the 2012 16th European Conference on Software Maintenance and Reengineering","","","CSMR '12","","IEEE Computer Society","","","","","","","","","Multiagent system, market mechanism, bug lifetime, bug repositories","",""
6,"978-1-4799-6033-0","Hu:2014:EBT:2707683.2708297","Hu, Hao; Zhang, Hongyu; Xuan, Jifeng & Sun, Weigang","Effective Bug Triage Based on Historical Bug-Fix Information","",,,"","122--132",2014,"Washington, DC, USA","","http://dx.doi.org/10.1109/ISSRE.2014.17","Proceedings of the 2014 IEEE 25th International Symposium on Software Reliability Engineering","","","ISSRE '14","","IEEE Computer Society","","","","","","","","","bug report assignment, bug triage, developer recommendation, bug repository","",""
