"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"SNR2TNHT","journalArticle","2012","Kasikci, Baris; Zamfir, Cristian; Candea, George","Data Races vs. Data Race Bugs: Telling the Difference with Portend","SIGPLAN Not.","","0362-1340","10.1145/2248487.2150997","http://doi.acm.org/10.1145/2248487.2150997","","2012-03","2016-03-14 21:40:14","2016-03-14 21:40:14","","185–198","","4","47","","","","","","","","","","","","","","","","","","","","","concurrency; data races; Testing; triage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TUT53P9U","conferencePaper","2014","Wang, Qianxiang; Li, Xuan","Bug Localization via Searching Crowd-contributed Code","Proceedings of the 6th Asia-Pacific Symposium on Internetware on Internetware","978-1-4503-3303-0","","10.1145/2677832.2677833","http://doi.acm.org/10.1145/2677832.2677833","","2014","2016-03-14 21:40:14","2016-03-14 21:40:14","","1–10","","","","","","","INTERNETWARE 2014","","","","ACM","New York, NY, USA","","","","","","","","","","","","Bug Localization; Deep Normalization; Semantically Equivalent Alignment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NWFTZ2FQ","conferencePaper","1990","Sugiyama, Yasuhiro; Horowitz, Ellis","OPM: An Object Process Modeling Environment0","Proceedings of the 5th International Software Process Workshop on Experience with Software Process Models","0-8186-2104-4","","","http://dl.acm.org/citation.cfm?id=317498.317737","","1990","2016-03-14 21:40:14","2016-03-14 21:40:14","","134–136","","","","","","","ISPW '90","","","","IEEE Computer Society Press","Los Alamitos, CA, USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3DJ2FMNW","conferencePaper","2011","Bodden, Eric","Stateful Breakpoints: A Practical Approach to Defining Parameterized Runtime Monitors","Proceedings of the 19th ACM SIGSOFT Symposium and the 13th European Conference on Foundations of Software Engineering","978-1-4503-0443-6","","10.1145/2025113.2025201","http://doi.acm.org/10.1145/2025113.2025201","","2011","2016-03-14 21:40:14","2016-03-14 21:40:14","","492–495","","","","","","","ESEC/FSE '11","","","","ACM","New York, NY, USA","","","","","","","","","","","","parameterized runtime monitors; stateful breakpoints","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PNPRW4UI","conferencePaper","2014","Ponzanelli, Luca","Holistic Recommender Systems for Software Engineering","Companion Proceedings of the 36th International Conference on Software Engineering","978-1-4503-2768-8","","10.1145/2591062.2591081","http://doi.acm.org/10.1145/2591062.2591081","","2014","2016-03-14 21:40:14","2016-03-14 21:40:14","","686–689","","","","","","","ICSE Companion 2014","","","","ACM","New York, NY, USA","","","","","","","","","","","","Developer Support; recommender systems","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B62N4K62","conferencePaper","2014","Guo, Lisha; Sun, Hailong; Liu, Xudong","Using Clustering and Transitivity to Reduce the Costs of Crowdsourced Entity Resolution","Proceedings of the 1st International Workshop on Crowd-based Software Development Methods and Technologies","978-1-4503-3224-8","","10.1145/2666539.2666568","http://doi.acm.org/10.1145/2666539.2666568","","2014","2016-03-14 21:40:14","2016-03-14 21:40:14","","13–18","","","","","","","CrowdSoft 2014","","","","ACM","New York, NY, USA","","","","","","","","","","","","Clustering; crowdsourcing; Entity resolution; Software; transitivity","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BMC9DNC4","journalArticle","2013","Deng, Dongdong; Zhang, Wei; Lu, Shan","Efficient Concurrency-bug Detection Across Inputs","SIGPLAN Not.","","0362-1340","10.1145/2544173.2509539","http://doi.acm.org/10.1145/2544173.2509539","","2013-10","2016-03-14 21:40:14","2016-03-14 21:40:14","","785–802","","10","48","","","","","","","","","","","","","","","","","","","","","bug detection; Concurrency Bugs; Multi-Threaded Software; software testing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VM6FZQWI","conferencePaper","2013","Deng, Dongdong; Zhang, Wei; Lu, Shan","Efficient Concurrency-bug Detection Across Inputs","Proceedings of the 2013 ACM SIGPLAN International Conference on Object Oriented Programming Systems Languages &#38; Applications","978-1-4503-2374-1","","10.1145/2509136.2509539","http://doi.acm.org/10.1145/2509136.2509539","","2013","2016-03-14 21:40:14","2016-03-14 21:40:14","","785–802","","","","","","","OOPSLA '13","","","","ACM","New York, NY, USA","","","","","","","","","","","","bug detection; Concurrency Bugs; Multi-Threaded Software; software testing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MFK4C2JA","journalArticle","2013","Xu, Guoqing; Rountev, Atanas","Precise Memory Leak Detection for Java Software Using Container Profiling","ACM Trans. Softw. Eng. Methodol.","","1049-331X","10.1145/2491509.2491511","http://doi.acm.org/10.1145/2491509.2491511","","2013-07","2016-03-14 21:40:15","2016-03-14 21:40:15","","17:1–17:28","","3","22","","","","","","","","","","","","","","","","","","","","","container profiling; leaking confidence; Memory leaks","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FMSZIHWP","conferencePaper","2011","Rao, Shivani; Kak, Avinash","Retrieval from Software Libraries for Bug Localization: A Comparative Study of Generic and Composite Text Models","Proceedings of the 8th Working Conference on Mining Software Repositories","978-1-4503-0574-7","","10.1145/1985441.1985451","http://doi.acm.org/10.1145/1985441.1985451","","2011","2016-03-14 21:40:15","2016-03-14 21:40:15","","43–52","","","","","","","MSR '11","","","","ACM","New York, NY, USA","","","","","","","","","","","","Bug Localization; Information retrieval; latent dirichlet allocation; latent semantic analysis; software engineering","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
